127.0.0.1 - - [04/Mar/2024:11:37:25 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Mar/2024:11:37:25 +0900] "GET /JspProject/ajax0304/readData1.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [04/Mar/2024:11:37:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Mar/2024:11:37:42 +0900] "GET /JspProject/ajax0304/readData1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:11:38:53 +0900] "GET /JspProject/ajax0304/readData1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:11:38:56 +0900] "GET /JspProject/ajax0304/readData1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:11:38:56 +0900] "GET /JspProject/ajax0304/readData1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:11:38:56 +0900] "GET /JspProject/ajax0304/readData1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:11:39:39 +0900] "GET /JspProject/ajax0304/readData1.html HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [04/Mar/2024:11:39:39 +0900] "GET /JspProject/image/jquery_img/05.png HTTP/1.1" 200 31548
0:0:0:0:0:0:0:1 - - [04/Mar/2024:11:40:23 +0900] "GET /JspProject/ajax0304/readData1.html HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [04/Mar/2024:11:47:08 +0900] "GET /JspProject/ajax0304/readData1.html HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [04/Mar/2024:11:52:25 +0900] "GET /JspProject/ajax0304/readData1.html HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [04/Mar/2024:11:52:27 +0900] "GET /JspProject/ajax0304/data1.xml HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [04/Mar/2024:11:53:31 +0900] "GET /JspProject/ajax0304/readData1.html HTTP/1.1" 200 1342
0:0:0:0:0:0:0:1 - - [04/Mar/2024:11:53:36 +0900] "GET /JspProject/ajax0304/readData1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:11:54:05 +0900] "GET /JspProject/ajax0304/readData1.html HTTP/1.1" 200 1413
0:0:0:0:0:0:0:1 - - [04/Mar/2024:12:11:10 +0900] "GET /JspProject/ajax0304/readData1.html HTTP/1.1" 200 1952
0:0:0:0:0:0:0:1 - - [04/Mar/2024:12:11:11 +0900] "GET /JspProject/ajax0304/data1.json HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [04/Mar/2024:12:33:19 +0900] "GET /JspProject/ajax0304/readData2.html HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [04/Mar/2024:12:34:52 +0900] "GET /JspProject/ajax0304/xmldata2.xml HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [04/Mar/2024:12:34:58 +0900] "GET /JspProject/ajax0304/readData2.html HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [04/Mar/2024:12:46:18 +0900] "GET /JspProject/ajax0304/readData2.html HTTP/1.1" 200 2045
0:0:0:0:0:0:0:1 - - [04/Mar/2024:12:46:20 +0900] "GET /JspProject/ajax0304/jsondata2.json HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [04/Mar/2024:12:46:20 +0900] "GET /JspProject/image/%EC%97%B0%EC%98%88%EC%9D%B8%EC%82%AC%EC%A7%84/10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:12:46:20 +0900] "GET /JspProject/image/%EC%97%B0%EC%98%88%EC%9D%B8%EC%82%AC%EC%A7%84/17.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:12:46:20 +0900] "GET /JspProject/image/%EC%97%B0%EC%98%88%EC%9D%B8%EC%82%AC%EC%A7%84/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:12:46:20 +0900] "GET /JspProject/image/%EC%97%B0%EC%98%88%EC%9D%B8%EC%82%AC%EC%A7%84/20.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:12:46:41 +0900] "GET /JspProject/ajax0304/xmldata2.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:12:47:02 +0900] "GET /JspProject/ajax0304/readData2.html HTTP/1.1" 200 2045
0:0:0:0:0:0:0:1 - - [04/Mar/2024:12:47:18 +0900] "GET /JspProject/ajax0304/readData2.html HTTP/1.1" 200 2053
0:0:0:0:0:0:0:1 - - [04/Mar/2024:12:47:19 +0900] "GET /JspProject/ajax0304/readData2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:12:47:23 +0900] "GET /JspProject/ajax0304/readData2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2024:12:47:49 +0900] "GET /JspProject/ajax0304/readData2.html HTTP/1.1" 200 2048
